province_state,country_region,observation_date,continent,us_county,us_state,confirmed_total,deaths_total,recovered_total,confirmed_daily,deaths_daily,recovered_daily,latitude,longitude
,Thailand,2020-01-22 00:00:00+00,,,,2,0,0,2,0,0,15.0,101.0
,Thailand,2020-01-23 00:00:00+00,,,,3,0,0,1,0,0,15.0,101.0
,Thailand,2020-01-24 00:00:00+00,,,,5,0,0,2,0,0,15.0,101.0
,Thailand,2020-01-25 00:00:00+00,,,,7,0,0,2,0,0,15.0,101.0
,Thailand,2020-01-26 00:0:00+00,,,,8,0,2,1,0,2,15.0,101.0
,Thailand,2020-01-27 00:00:00+00,,,,8,0,2,0,0,0,15.0,101.0
,Thailand,2020-01-28 00:00:00+00,,,,14,0,5,6,0,3,15.0,101.0
,Thailand,2020-01-29 00:00:00+00,,,,14,0,5,0,0,0,15.0,101.0
,Thailand,2020-01-30 00:00:00+00,,,,14,0,5,0,0,0,15.0,101.0
,Thailand,2020-01-31 00:00:00+00,,,,19,0,5,5,0,0,15.0,101.0
,Thailand,2020-02-01 00:00:00+00,,,,19,0,5,0,0,0,15.0,101.0
,Thailand,2020-02-02 00:00:00+00,,,,19,0,5,0,0,0,15.0,101.0
,Thailand,2020-02-03 00:00:00+00,,,,19,0,5,0,0,0,15.0,101.0
,Thailand,2020-02-04 00:00:00+00,,,,25,0,5,6,0,0,15.0,101.0
,Thailand,2020-02-05 00:00:00+00,,,,25,0,5,0,0,0,15.0,101.0
,Thailand,2020-02-06 00:00:00+00,,,,25,0,5,0,0,0,15.0,101.0
,Thailand,2020-02-07 00:00:00+00,,,,25,0,5,0,0,0,15.0,101.0
,Thailand,2020-02-08 00:00:00+00,,,,32,0,10,7,0,5,15.0,101.0
,Thailand,2020-02-09 00:00:00+00,,,,32,0,10,0,0,0,15.0,101.0
,Thailand,2020-02-10 00:00:00+00,,,,32,0,10,0,0,0,15.0,101.0
,Thailand,2020-02-11 00:00:00+00,,,,33,0,10,1,0,0,15.0,101.0
,Thailand,2020-02-12 00:00:00+00,,,,33,0,10,0,0,0,15.0,101.0
,Thailand,2020-02-13 00:00:00+00,,,,33,0,12,0,0,2,15.0,101.0
,Thailand,2020-02-14 00:00:00+00,,,,33,0,12,0,0,0,15.0,101.0
,Thailand,2020-02-15 00:00:00+00,,,,33,0,12,0,0,0,15.0,101.0
,Thailand,2020-02-16 00:00:00+00,,,,34,0,14,1,0,2,15.0,101.0
,Thailand,2020-02-17 00:00:00+00,,,,35,0,15,1,0,1,15.0,101.0
,Thailand,2020-02-18 00:00:00+00,,,,35,0,15,0,0,0,15.0,101.0
,Thailand,2020-02-19 00:00:00+00,,,,35,0,15,0,0,0,15.0,101.0
,Thailand,2020-02-20 00:00:00+00,,,,35,0,15,0,0,0,15.0,101.0
,Thailand,2020-02-21 00:00:00+00,,,,35,0,17,0,0,2,15.0,101.0
,Thailand,2020-02-22 00:00:00+00,,,,35,0,17,0,0,0,15.0,101.0
,Thailand,2020-02-23 00:00:00+00,,,,35,0,21,0,0,4,15.0,101.0
,Thailand,2020-02-24 00:00:00+00,,,,35,0,21,0,0,0,15.0,101.0
,Thailand,2020-02-25 00:00:00+00,,,,37,0,22,2,0,1,15.0,101.0
,Thailand,2020-02-26 00:00:00+00,,,,40,0,22,3,0,0,15.0,101.0
,Thailand,2020-02-27 00:00:00+00,,,,40,0,22,0,0,0,15.0,101.0
,Thailand,2020-02-28 00:00:00+00,,,,41,0,28,1,0,6,15.0,101.0
,Thailand,2020-02-29 00:00:00+00,,,,42,0,28,1,0,0,15.0,101.0
,Thailand,2020-03-01 00:00:00+00,,,,42,1,28,0,1,0,15.0,101.0
,Thailand,2020-03-02 00:00:00+00,,,,43,1,31,1,0,3,15.0,101.0
,Thailand,2020-03-03 00:00:00+00,,,,43,1,31,0,0,0,15.0,101.0
,Thailand,2020-03-04 00:00:00+00,,,,43,1,31,0,0,0,15.0,101.0
,Thailand,2020-03-05 00:00:00+00,,,,47,1,31,4,0,0,15.0,101.0
,Thailand,2020-03-06 00:00:00+00,,,,48,1,31,1,0,0,15.0,101.0
,Thailand,2020-03-07 00:00:00+00,,,,50,1,31,2,0,0,15.0,101.0
,Thailand,2020-03-08 00:00:00+00,,,,50,1,31,0,0,0,15.0,101.0
,Thailand,2020-03-09 00:00:00+00,,,,50,1,31,0,0,0,15.0,101.0
,Thailand,2020-03-10 00:00:00+00,,,,53,1,33,3,0,2,15.0,101.0
,Thailand,2020-03-11 00:00:00+00,,,,59,1,34,6,0,1,15.0,101.0
,Thailand,2020-03-12 00:00:00+00,,,,70,1,34,11,0,0,15.0,101.0
,Thailand,2020-03-13 00:00:00+00,,,,75,1,35,5,0,1,15.0,101.0
,Thailand,2020-03-14 00:00:00+00,,,,82,1,35,7,0,0,15.0,101.0
,Thailand,2020-03-15 00:00:00+00,,,,114,1,35,32,0,0,15.0,101.0
,Thailand,2020-03-16 00:00:00+00,,,,147,1,35,33,0,0,15.0,101.0
,Thailand,2020-03-17 00:00:00+00,,,,177,1,41,30,0,6,15.0,101.0
,Thailand,2020-03-18 00:00:00+00,,,,212,1,42,35,0,1,15.0,101.0
,Thailand,2020-03-19 00:00:00+00,,,,272,1,42,60,0,0,15.0,101.0
,Thailand,2020-03-20 00:00:00+00,,,,322,1,42,50,0,0,15.0,101.0
,Thailand,2020-03-21 00:00:00+00,,,,411,1,42,89,0,0,15.0,101.0
,Thailand,2020-03-22 00:00:00+00,,,,599,1,44,188,0,2,15.0,101.0
,Thailand,2020-03-23 00:00:00+00,,,,599,1,44,0,0,0,15.0,101.0
,Japan,2020-01-22 00:00:00+00,,,,2,0,0,2,0,0,36.0,138.0
,Japan,2020-01-23 00:00:00+00,,,,1,0,0,-1,0,0,36.0,138.0
,Japan,2020-01-24 00:00:00+00,,,,2,0,0,1,0,0,36.0,138.0
,Japan,2020-01-25 00:00:00+00,,,,2,0,0,0,0,0,36.0,138.0
,Japan,2020-01-26 00:00:00+00,,,,4,0,1,2,0,1,36.0,138.0
,Japan,2020-01-27 00:00:00+00,,,,4,0,1,0,0,0,36.0,138.0
,Japan,2020-01-28 00:00:00+00,,,,7,0,1,3,0,0,36.0,138.0
,Japan,2020-01-29 00:00:00+00,,,,7,0,1,0,0,0,36.0,138.0
,Japan,2020-01-30 00:00:00+00,,,,11,0,1,4,0,0,36.0,138.0
,Japan,2020-01-31 00:00:00+00,,,,15,0,1,4,0,0,36.0,138.0
,Japan,2020-02-01 00:00:00+00,,,,20,0,1,5,0,0,36.0,138.0
,Japan,2020-02-02 00:00:00+00,,,,20,0,1,0,0,0,36.0,138.0
,Japan,2020-02-03 00:00:00+00,,,,20,0,1,0,0,0,36.0,138.0
,Japan,2020-02-04 00:00:00+00,,,,22,0,1,2,0,0,36.0,138.0
,Japan,2020-02-05 00:00:00+00,,,,22,0,1,0,0,0,36.0,138.0
,Japan,2020-02-06 00:00:00+00,,,,45,0,1,23,0,0,36.0,138.0
,Japan,2020-02-07 00:00:00+00,,,,25,0,1,-20,0,0,36.0,138.0
,Japan,2020-02-08 00:00:00+00,,,,25,0,1,0,0,0,36.0,138.0
,Japan,2020-02-09 00:00:00+00,,,,26,0,1,1,0,0,36.0,138.0
,Japan,2020-02-10 00:00:00+00,,,,26,0,4,0,0,3,36.0,138.0
,Japan,2020-02-11 00:00:00+00,,,,26,0,9,0,0,5,36.0,138.0
,Japan,2020-02-12 00:00:00+00,,,,28,0,9,2,0,0,36.0,138.0
,Japan,2020-02-13 00:00:00+00,,,,28,1,9,0,1,0,36.0,138.0
,Japan,2020-02-14 00:00:00+00,,,,29,1,9,1,0,0,36.0,138.0
,Japan,2020-02-15 00:00:00+00,,,,43,1,12,14,0,3,36.0,138.0
,Japan,2020-02-16 00:00:00+00,,,,59,1,12,16,0,0,36.0,138.0
,Japan,2020-02-17 00:00:00+00,,,,66,1,12,7,0,0,36.0,138.0
,Japan,2020-02-18 00:00:00+00,,,,74,1,13,8,0,1,36.0,138.0
,Japan,2020-02-19 00:00:00+00,,,,84,1,18,10,0,5,36.0,138.0
,Japan,2020-02-20 00:00:00+00,,,,94,1,18,10,0,0,36.0,138.0
,Japan,2020-02-21 00:00:00+00,,,,105,1,22,11,0,4,36.0,138.0
,Japan,2020-02-22 00:00:00+00,,,,122,1,22,17,0,0,36.0,138.0
,Japan,2020-02-23 00:00:00+00,,,,147,1,22,25,0,0,36.0,138.0
,Japan,2020-02-24 00:00:00+00,,,,159,1,22,12,0,0,36.0,138.0
,Japan,2020-02-25 00:00:00+00,,,,170,1,22,11,0,0,36.0,138.0
,Japan,2020-02-26 00:00:00+00,,,,189,2,22,19,1,0,36.0,138.0
,Japan,2020-02-27 00:00:00+00,,,,214,4,22,25,2,0,36.0,138.0
,Japan,2020-02-28 00:00:00+00,,,,228,4,22,14,0,0,36.0,138.0
,Japan,2020-02-29 00:00:00+00,,,,241,5,32,13,1,10,36.0,138.0
,Japan,2020-03-01 00:00:00+00,,,,256,6,32,15,1,0,36.0,138.0
,Japan,2020-03-02 00:00:00+00,,,,274,6,32,18,0,0,36.0,138.0
,Japan,2020-03-03 00:00:00+00,,,,293,6,43,19,0,11,36.0,138.0
,Japan,2020-03-04 00:00:00+00,,,,331,6,43,38,0,0,36.0,138.0
,Japan,2020-03-05 00:00:00+00,,,,360,6,43,29,0,0,36.0,138.0
,Japan,2020-03-06 00:00:00+00,,,,420,6,46,60,0,3,36.0,138.0
,Japan,2020-03-07 00:00:00+00,,,,461,6,76,41,0,30,36.0,138.0
,Japan,2020-03-08 00:00:00+00,,,,502,6,76,41,0,0,36.0,138.0
,Japan,2020-03-09 00:00:00+00,,,,511,10,76,9,4,0,36.0,138.0
,Japan,2020-03-10 00:00:00+00,,,,581,10,101,70,0,25,36.0,138.0
,Japan,2020-03-11 00:00:00+00,,,,639,15,118,58,5,17,36.0,138.0
,Japan,2020-03-12 00:00:00+00,,,,639,16,118,0,1,0,36.0,138.0
,Japan,2020-03-13 00:00:00+00,,,,701,19,118,62,3,0,36.0,138.0
,Japan,2020-03-14 00:00:00+00,,,,773,22,118,72,3,0,36.0,138.0
,Japan,2020-03-15 00:00:00+00,,,,839,22,118,66,0,0,36.0,138.0
,Japan,2020-03-16 00:00:00+00,,,,825,27,144,-14,5,26,36.0,138.0
,Japan,2020-03-17 00:00:00+00,,,,878,29,144,53,2,0,36.0,138.0
,Japan,2020-03-18 00:00:00+00,,,,889,29,144,11,0,0,36.0,138.0
,Japan,2020-03-19 00:00:00+00,,,,924,29,150,35,0,6,36.0,138.0
,Japan,2020-03-20 00:00:00+00,,,,963,33,191,39,4,41,36.0,138.0
,Japan,2020-03-21 00:00:00+00,,,,1007,35,232,44,2,41,36.0,138.0
